5 | 57118416 | 100점
0 | 61187825 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 59679259 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61450847 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
5 | 57118416 | 100점
만족합니다! | rj7*** | 2020.01.04
1 | 51019691 | 100점
늘 사용하던 제품인데 이번엔 cjmall에서 구매해봤습니다. 늘 만족하고 쓰는 제품이라 | bluesy*** | 2019.08.14
5 | 56532140 | 100점
그냥 후레쉬하게 쓰기적당 | s2310*** | 2019.12.07
0 | 61853720 | 100점
그냥 후레쉬하게 쓰기적당 | s2310*** | 2019.12.07
1 | 51019575 | 100점
아줄렌이 함유된 미스트고 가격도 저렴해서 구매했어요~ 미스트 분사방식이 마음에 들어요 | eunhy*** | 2018.09.04
5 | 55298228 | 100점
저렴하게 구입했습니다 | lhy1*** | 2019.12.22
5 | 59461698 | 100점
좋습니다 배송도빠르고 | qkek5*** | 2019.11.12
1 | 61826480 | 100점
빨리 보내주셔서 감사합니다 | jjungne*** | 2020.02.05
4 | 48366565 | 100점
사용이 간편하도 패드에 스킨이 충분히 있어서 좋네요 | sayurc*** | 2018.01.27
5 | 54571191 | 100점
딸이 참 좋아해요 | ihj*** | 2019.12.13
5 | 50273126 | 100점
피부에 잘맞아서 잘사용하고있어요 | chlgmlrhk*** | 2018.11.06
1 | 61187924 | 100점
추천합니다 | rlaaltn0*** | 2020.01.12
5 | 56935358 | 100점
한개로 스킨세럼로션을 한번에 다 해결할 수 있는 제품이라 좋아요. | lovewhj9*** | _131170814
1 | 60131024 | 100점
피부 예민한 딸이 추천했는데 저는 화장이 자꾸 뜨네요.ㅜㅜ 딸 쓰라고 줬습니다 | agi333*** | 2020.01.04
0 | 60226494 | 100점
피부 예민한 딸이 추천했는데 저는 화장이 자꾸 뜨네요.ㅜㅜ 딸 쓰라고 줬습니다 | agi333*** | 2020.01.04
5 | 56619677 | 100점
가격대비 넘 좋아요~~ | pearl8*** | _131170222
5 | 56635215 | 100점
오랫동안 잘 사용하고있어요 | kipa*** | 2019.07.01
0 | 61187725 | 100점
오랫동안 잘 사용하고있어요 | kipa*** | 2019.07.01
1 | 58095734 | 100점
넘나 좋아요 재구매 예약 입니당 | azzangw*** | 2019.12.05
1 | 61187807 | 100점
작년에 제주오설록에서사서쓰고 두번째 구매 가격도좋고 사은품도넘 많이주셔서 잘쓸듯 | wee5*** | 2020.01.08
0 | 61187783 | 100점
작년에 제주오설록에서사서쓰고 두번째 구매 가격도좋고 사은품도넘 많이주셔서 잘쓸듯 | wee5*** | 2020.01.08
5 | 54594969 | 100점
자연스럽고 좋아요 | pre*** | 170649_N21
2 | 58261738 | 100점
반짝반짝~~^^ | qjqmfqjqm*** | _131170189
5 | 56638850 | 100점
항상 스트레스 인데요 이 제품 꾸준히블랙헤드가 제발 사라졌으면 좋겠어요 블랙헤드 굳바이~! | hello*** | 2019.11.13
4 | 48366566 | 100점
잘 받았습니다. | tiwnst*** | 2018.08.11
0 | 61827083 | 100점
잘 받았습니다. | tiwnst*** | 2018.08.11
5 | 61182500 | 100점
배송 빠르고 상품하자 없이 잘 왔습니다. | cch6*** | 2020.01.04
5 | 55298442 | 100점
피부 타입에 잘 맞아요 | anijine9*** | 2019.11.17
1 | 61187849 | 100점
추가제공 선크림이랑 샘플도 넉넉히 넘나 좋어요. | hyowo*** | 2020.02.03
5 | 55881836 | 100점
넉넉한 용량이라 좋아요 | yunh7*** | 2019.08.10
5 | 56642859 | 100점
와우 선물했는데 피부가 보들보들 너무 좋다고 하네요 | zaza*** | 2019.11.17
1 | 59503043 | 100점
아주 만족 합니다. 좋아서 재구매예요. | csee*** | 2020.01.19
0 | 61187848 | 95점
아주 만족 합니다. 좋아서 재구매예요. | csee*** | 2020.01.19
5 | 57215631 | 100점
아직 사용전인데 써보고 좋으면 또 주문할께요 | sudarel*** | 2019.11.12
0 | 55887989 | 100점
아직 사용전인데 써보고 좋으면 또 주문할께요 | sudarel*** | 2019.11.12
2 | 55887987 | 100점
자극이 없이 순해요 | si1*** | 2019.08.21
5 | 47275600 | 100점
피부 촉촉하게 잘 사용 | dalh*** | 2019.09.01
2 | 61187925 | 100점
늘 쓰던거라. | jjpp4*** | 2020.01.06
5 | 56446801 | 100점
추천합니다 | lebeauch*** | 2019.11.21
1 | 58092022 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61187822 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61187782 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61187825 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 59679259 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61450847 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
5 | 57118416 | 100점
만족합니다! | rj7*** | 2020.01.04
1 | 51019691 | 100점
늘 사용하던 제품인데 이번엔 cjmall에서 구매해봤습니다. 늘 만족하고 쓰는 제품이라 | bluesy*** | 2019.08.14
5 | 56532140 | 100점
그냥 후레쉬하게 쓰기적당 | s2310*** | 2019.12.07
0 | 61853720 | 100점
그냥 후레쉬하게 쓰기적당 | s2310*** | 2019.12.07
1 | 51019575 | 100점
아줄렌이 함유된 미스트고 가격도 저렴해서 구매했어요~ 미스트 분사방식이 마음에 들어요 | eunhy*** | 2018.09.04
5 | 55298228 | 100점
저렴하게 구입했습니다 | lhy1*** | 2019.12.22
5 | 59461698 | 100점
좋습니다 배송도빠르고 | qkek5*** | 2019.11.12
1 | 61826480 | 100점
빨리 보내주셔서 감사합니다 | jjungne*** | 2020.02.05
4 | 48366565 | 100점
사용이 간편하도 패드에 스킨이 충분히 있어서 좋네요 | sayurc*** | 2018.01.27
5 | 54571191 | 100점
딸이 참 좋아해요 | ihj*** | 2019.12.13
5 | 50273126 | 100점
피부에 잘맞아서 잘사용하고있어요 | chlgmlrhk*** | 2018.11.06
1 | 61187924 | 100점
추천합니다 | rlaaltn0*** | 2020.01.12
5 | 56935358 | 100점
한개로 스킨세럼로션을 한번에 다 해결할 수 있는 제품이라 좋아요. | lovewhj9*** | _131170814
1 | 60131024 | 100점
피부 예민한 딸이 추천했는데 저는 화장이 자꾸 뜨네요.ㅜㅜ 딸 쓰라고 줬습니다 | agi333*** | 2020.01.04
0 | 60226494 | 100점
피부 예민한 딸이 추천했는데 저는 화장이 자꾸 뜨네요.ㅜㅜ 딸 쓰라고 줬습니다 | agi333*** | 2020.01.04
5 | 56619677 | 100점
가격대비 넘 좋아요~~ | pearl8*** | _131170222
5 | 56635215 | 100점
오랫동안 잘 사용하고있어요 | kipa*** | 2019.07.01
0 | 61187725 | 100점
오랫동안 잘 사용하고있어요 | kipa*** | 2019.07.01
1 | 58095734 | 100점
넘나 좋아요 재구매 예약 입니당 | azzangw*** | 2019.12.05
1 | 61187807 | 100점
작년에 제주오설록에서사서쓰고 두번째 구매 가격도좋고 사은품도넘 많이주셔서 잘쓸듯 | wee5*** | 2020.01.08
0 | 61187783 | 100점
작년에 제주오설록에서사서쓰고 두번째 구매 가격도좋고 사은품도넘 많이주셔서 잘쓸듯 | wee5*** | 2020.01.08
5 | 54594969 | 100점
자연스럽고 좋아요 | pre*** | 170649_N21
2 | 58261738 | 100점
반짝반짝~~^^ | qjqmfqjqm*** | _131170189
5 | 56638850 | 100점
항상 스트레스 인데요 이 제품 꾸준히블랙헤드가 제발 사라졌으면 좋겠어요 블랙헤드 굳바이~! | hello*** | 2019.11.13
4 | 48366566 | 100점
잘 받았습니다. | tiwnst*** | 2018.08.11
0 | 61827083 | 100점
잘 받았습니다. | tiwnst*** | 2018.08.11
5 | 61182500 | 100점
배송 빠르고 상품하자 없이 잘 왔습니다. | cch6*** | 2020.01.04
5 | 55298442 | 100점
피부 타입에 잘 맞아요 | anijine9*** | 2019.11.17
1 | 61187849 | 100점
추가제공 선크림이랑 샘플도 넉넉히 넘나 좋어요. | hyowo*** | 2020.02.03
5 | 55881836 | 100점
넉넉한 용량이라 좋아요 | yunh7*** | 2019.08.10
5 | 56642859 | 100점
와우 선물했는데 피부가 보들보들 너무 좋다고 하네요 | zaza*** | 2019.11.17
1 | 59503043 | 100점
아주 만족 합니다. 좋아서 재구매예요. | csee*** | 2020.01.19
0 | 61187848 | 95점
아주 만족 합니다. 좋아서 재구매예요. | csee*** | 2020.01.19
5 | 57215631 | 100점
아직 사용전인데 써보고 좋으면 또 주문할께요 | sudarel*** | 2019.11.12
0 | 55887989 | 100점
아직 사용전인데 써보고 좋으면 또 주문할께요 | sudarel*** | 2019.11.12
2 | 55887987 | 100점
자극이 없이 순해요 | si1*** | 2019.08.21
5 | 47275600 | 100점
피부 촉촉하게 잘 사용 | dalh*** | 2019.09.01
2 | 61187925 | 100점
늘 쓰던거라. | jjpp4*** | 2020.01.06
5 | 56446801 | 100점
추천합니다 | lebeauch*** | 2019.11.21
1 | 58092022 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61187822 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61187782 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61187825 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 59679259 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61450847 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
5 | 57118416 | 100점
만족합니다! | rj7*** | 2020.01.04
1 | 51019691 | 100점
늘 사용하던 제품인데 이번엔 cjmall에서 구매해봤습니다. 늘 만족하고 쓰는 제품이라 | bluesy*** | 2019.08.14
5 | 56532140 | 100점
그냥 후레쉬하게 쓰기적당 | s2310*** | 2019.12.07
0 | 61853720 | 100점
그냥 후레쉬하게 쓰기적당 | s2310*** | 2019.12.07
1 | 51019575 | 100점
아줄렌이 함유된 미스트고 가격도 저렴해서 구매했어요~ 미스트 분사방식이 마음에 들어요 | eunhy*** | 2018.09.04
5 | 55298228 | 100점
저렴하게 구입했습니다 | lhy1*** | 2019.12.22
5 | 59461698 | 100점
좋습니다 배송도빠르고 | qkek5*** | 2019.11.12
1 | 61826480 | 100점
빨리 보내주셔서 감사합니다 | jjungne*** | 2020.02.05
4 | 48366565 | 100점
사용이 간편하도 패드에 스킨이 충분히 있어서 좋네요 | sayurc*** | 2018.01.27
5 | 54571191 | 100점
딸이 참 좋아해요 | ihj*** | 2019.12.13
5 | 50273126 | 100점
피부에 잘맞아서 잘사용하고있어요 | chlgmlrhk*** | 2018.11.06
1 | 61187924 | 100점
추천합니다 | rlaaltn0*** | 2020.01.12
5 | 56935358 | 100점
한개로 스킨세럼로션을 한번에 다 해결할 수 있는 제품이라 좋아요. | lovewhj9*** | _131170814
1 | 60131024 | 100점
피부 예민한 딸이 추천했는데 저는 화장이 자꾸 뜨네요.ㅜㅜ 딸 쓰라고 줬습니다 | agi333*** | 2020.01.04
0 | 60226494 | 100점
피부 예민한 딸이 추천했는데 저는 화장이 자꾸 뜨네요.ㅜㅜ 딸 쓰라고 줬습니다 | agi333*** | 2020.01.04
5 | 56619677 | 100점
가격대비 넘 좋아요~~ | pearl8*** | _131170222
5 | 56635215 | 100점
오랫동안 잘 사용하고있어요 | kipa*** | 2019.07.01
0 | 61187725 | 100점
오랫동안 잘 사용하고있어요 | kipa*** | 2019.07.01
1 | 58095734 | 100점
넘나 좋아요 재구매 예약 입니당 | azzangw*** | 2019.12.05
1 | 61187807 | 100점
작년에 제주오설록에서사서쓰고 두번째 구매 가격도좋고 사은품도넘 많이주셔서 잘쓸듯 | wee5*** | 2020.01.08
0 | 61187783 | 100점
작년에 제주오설록에서사서쓰고 두번째 구매 가격도좋고 사은품도넘 많이주셔서 잘쓸듯 | wee5*** | 2020.01.08
5 | 54594969 | 100점
자연스럽고 좋아요 | pre*** | 170649_N21
2 | 58261738 | 100점
반짝반짝~~^^ | qjqmfqjqm*** | _131170189
5 | 56638850 | 100점
항상 스트레스 인데요 이 제품 꾸준히블랙헤드가 제발 사라졌으면 좋겠어요 블랙헤드 굳바이~! | hello*** | 2019.11.13
4 | 48366566 | 100점
잘 받았습니다. | tiwnst*** | 2018.08.11
0 | 61827083 | 100점
잘 받았습니다. | tiwnst*** | 2018.08.11
5 | 61182500 | 100점
배송 빠르고 상품하자 없이 잘 왔습니다. | cch6*** | 2020.01.04
5 | 55298442 | 100점
피부 타입에 잘 맞아요 | anijine9*** | 2019.11.17
1 | 61187849 | 100점
추가제공 선크림이랑 샘플도 넉넉히 넘나 좋어요. | hyowo*** | 2020.02.03
5 | 55881836 | 100점
넉넉한 용량이라 좋아요 | yunh7*** | 2019.08.10
5 | 56642859 | 100점
와우 선물했는데 피부가 보들보들 너무 좋다고 하네요 | zaza*** | 2019.11.17
1 | 59503043 | 100점
아주 만족 합니다. 좋아서 재구매예요. | csee*** | 2020.01.19
0 | 61187848 | 95점
아주 만족 합니다. 좋아서 재구매예요. | csee*** | 2020.01.19
5 | 57215631 | 100점
아직 사용전인데 써보고 좋으면 또 주문할께요 | sudarel*** | 2019.11.12
0 | 55887989 | 100점
아직 사용전인데 써보고 좋으면 또 주문할께요 | sudarel*** | 2019.11.12
2 | 55887987 | 100점
자극이 없이 순해요 | si1*** | 2019.08.21
5 | 47275600 | 100점
피부 촉촉하게 잘 사용 | dalh*** | 2019.09.01
2 | 61187925 | 100점
늘 쓰던거라. | jjpp4*** | 2020.01.06
5 | 56446801 | 100점
추천합니다 | lebeauch*** | 2019.11.21
1 | 58092022 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61187822 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61187782 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61187825 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 59679259 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61450847 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
5 | 57118416 | 100점
만족합니다! | rj7*** | 2020.01.04
1 | 51019691 | 100점
늘 사용하던 제품인데 이번엔 cjmall에서 구매해봤습니다. 늘 만족하고 쓰는 제품이라 | bluesy*** | 2019.08.14
5 | 56532140 | 100점
그냥 후레쉬하게 쓰기적당 | s2310*** | 2019.12.07
0 | 61853720 | 100점
그냥 후레쉬하게 쓰기적당 | s2310*** | 2019.12.07
1 | 51019575 | 100점
아줄렌이 함유된 미스트고 가격도 저렴해서 구매했어요~ 미스트 분사방식이 마음에 들어요 | eunhy*** | 2018.09.04
5 | 55298228 | 100점
저렴하게 구입했습니다 | lhy1*** | 2019.12.22
5 | 59461698 | 100점
좋습니다 배송도빠르고 | qkek5*** | 2019.11.12
1 | 61826480 | 100점
빨리 보내주셔서 감사합니다 | jjungne*** | 2020.02.05
4 | 48366565 | 100점
사용이 간편하도 패드에 스킨이 충분히 있어서 좋네요 | sayurc*** | 2018.01.27
5 | 54571191 | 100점
딸이 참 좋아해요 | ihj*** | 2019.12.13
5 | 50273126 | 100점
피부에 잘맞아서 잘사용하고있어요 | chlgmlrhk*** | 2018.11.06
1 | 61187924 | 100점
추천합니다 | rlaaltn0*** | 2020.01.12
5 | 56935358 | 100점
한개로 스킨세럼로션을 한번에 다 해결할 수 있는 제품이라 좋아요. | lovewhj9*** | _131170814
1 | 60131024 | 100점
피부 예민한 딸이 추천했는데 저는 화장이 자꾸 뜨네요.ㅜㅜ 딸 쓰라고 줬습니다 | agi333*** | 2020.01.04
0 | 60226494 | 100점
피부 예민한 딸이 추천했는데 저는 화장이 자꾸 뜨네요.ㅜㅜ 딸 쓰라고 줬습니다 | agi333*** | 2020.01.04
5 | 56619677 | 100점
가격대비 넘 좋아요~~ | pearl8*** | _131170222
5 | 56635215 | 100점
오랫동안 잘 사용하고있어요 | kipa*** | 2019.07.01
0 | 61187725 | 100점
오랫동안 잘 사용하고있어요 | kipa*** | 2019.07.01
1 | 58095734 | 100점
넘나 좋아요 재구매 예약 입니당 | azzangw*** | 2019.12.05
1 | 61187807 | 100점
작년에 제주오설록에서사서쓰고 두번째 구매 가격도좋고 사은품도넘 많이주셔서 잘쓸듯 | wee5*** | 2020.01.08
0 | 61187783 | 100점
작년에 제주오설록에서사서쓰고 두번째 구매 가격도좋고 사은품도넘 많이주셔서 잘쓸듯 | wee5*** | 2020.01.08
5 | 54594969 | 100점
자연스럽고 좋아요 | pre*** | 170649_N21
2 | 58261738 | 100점
반짝반짝~~^^ | qjqmfqjqm*** | _131170189
5 | 56638850 | 100점
항상 스트레스 인데요 이 제품 꾸준히블랙헤드가 제발 사라졌으면 좋겠어요 블랙헤드 굳바이~! | hello*** | 2019.11.13
4 | 48366566 | 100점
잘 받았습니다. | tiwnst*** | 2018.08.11
0 | 61827083 | 100점
잘 받았습니다. | tiwnst*** | 2018.08.11
5 | 61182500 | 100점
배송 빠르고 상품하자 없이 잘 왔습니다. | cch6*** | 2020.01.04
5 | 55298442 | 100점
피부 타입에 잘 맞아요 | anijine9*** | 2019.11.17
1 | 61187849 | 100점
추가제공 선크림이랑 샘플도 넉넉히 넘나 좋어요. | hyowo*** | 2020.02.03
5 | 55881836 | 100점
넉넉한 용량이라 좋아요 | yunh7*** | 2019.08.10
5 | 56642859 | 100점
와우 선물했는데 피부가 보들보들 너무 좋다고 하네요 | zaza*** | 2019.11.17
1 | 59503043 | 100점
아주 만족 합니다. 좋아서 재구매예요. | csee*** | 2020.01.19
0 | 61187848 | 95점
아주 만족 합니다. 좋아서 재구매예요. | csee*** | 2020.01.19
5 | 57215631 | 100점
아직 사용전인데 써보고 좋으면 또 주문할께요 | sudarel*** | 2019.11.12
0 | 55887989 | 100점
아직 사용전인데 써보고 좋으면 또 주문할께요 | sudarel*** | 2019.11.12
2 | 55887987 | 100점
자극이 없이 순해요 | si1*** | 2019.08.21
5 | 47275600 | 100점
피부 촉촉하게 잘 사용 | dalh*** | 2019.09.01
2 | 61187925 | 100점
늘 쓰던거라. | jjpp4*** | 2020.01.06
5 | 56446801 | 100점
추천합니다 | lebeauch*** | 2019.11.21
1 | 58092022 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61187822 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61187782 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61187825 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 59679259 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61450847 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
5 | 57118416 | 100점
만족합니다! | rj7*** | 2020.01.04
1 | 51019691 | 100점
늘 사용하던 제품인데 이번엔 cjmall에서 구매해봤습니다. 늘 만족하고 쓰는 제품이라 | bluesy*** | 2019.08.14
5 | 56532140 | 100점
그냥 후레쉬하게 쓰기적당 | s2310*** | 2019.12.07
0 | 61853720 | 100점
그냥 후레쉬하게 쓰기적당 | s2310*** | 2019.12.07
1 | 51019575 | 100점
아줄렌이 함유된 미스트고 가격도 저렴해서 구매했어요~ 미스트 분사방식이 마음에 들어요 | eunhy*** | 2018.09.04
5 | 55298228 | 100점
저렴하게 구입했습니다 | lhy1*** | 2019.12.22
5 | 59461698 | 100점
좋습니다 배송도빠르고 | qkek5*** | 2019.11.12
1 | 61826480 | 100점
빨리 보내주셔서 감사합니다 | jjungne*** | 2020.02.05
4 | 48366565 | 100점
사용이 간편하도 패드에 스킨이 충분히 있어서 좋네요 | sayurc*** | 2018.01.27
5 | 54571191 | 100점
딸이 참 좋아해요 | ihj*** | 2019.12.13
5 | 50273126 | 100점
피부에 잘맞아서 잘사용하고있어요 | chlgmlrhk*** | 2018.11.06
1 | 61187924 | 100점
추천합니다 | rlaaltn0*** | 2020.01.12
5 | 56935358 | 100점
한개로 스킨세럼로션을 한번에 다 해결할 수 있는 제품이라 좋아요. | lovewhj9*** | _131170814
1 | 60131024 | 100점
피부 예민한 딸이 추천했는데 저는 화장이 자꾸 뜨네요.ㅜㅜ 딸 쓰라고 줬습니다 | agi333*** | 2020.01.04
0 | 60226494 | 100점
피부 예민한 딸이 추천했는데 저는 화장이 자꾸 뜨네요.ㅜㅜ 딸 쓰라고 줬습니다 | agi333*** | 2020.01.04
5 | 56619677 | 100점
가격대비 넘 좋아요~~ | pearl8*** | _131170222
5 | 56635215 | 100점
오랫동안 잘 사용하고있어요 | kipa*** | 2019.07.01
0 | 61187725 | 100점
오랫동안 잘 사용하고있어요 | kipa*** | 2019.07.01
1 | 58095734 | 100점
넘나 좋아요 재구매 예약 입니당 | azzangw*** | 2019.12.05
1 | 61187807 | 100점
작년에 제주오설록에서사서쓰고 두번째 구매 가격도좋고 사은품도넘 많이주셔서 잘쓸듯 | wee5*** | 2020.01.08
0 | 61187783 | 100점
작년에 제주오설록에서사서쓰고 두번째 구매 가격도좋고 사은품도넘 많이주셔서 잘쓸듯 | wee5*** | 2020.01.08
5 | 54594969 | 100점
자연스럽고 좋아요 | pre*** | 170649_N21
2 | 58261738 | 100점
반짝반짝~~^^ | qjqmfqjqm*** | _131170189
5 | 56638850 | 100점
항상 스트레스 인데요 이 제품 꾸준히블랙헤드가 제발 사라졌으면 좋겠어요 블랙헤드 굳바이~! | hello*** | 2019.11.13
4 | 48366566 | 100점
잘 받았습니다. | tiwnst*** | 2018.08.11
0 | 61827083 | 100점
잘 받았습니다. | tiwnst*** | 2018.08.11
5 | 61182500 | 100점
배송 빠르고 상품하자 없이 잘 왔습니다. | cch6*** | 2020.01.04
5 | 55298442 | 100점
피부 타입에 잘 맞아요 | anijine9*** | 2019.11.17
1 | 61187849 | 100점
추가제공 선크림이랑 샘플도 넉넉히 넘나 좋어요. | hyowo*** | 2020.02.03
5 | 55881836 | 100점
넉넉한 용량이라 좋아요 | yunh7*** | 2019.08.10
5 | 56642859 | 100점
와우 선물했는데 피부가 보들보들 너무 좋다고 하네요 | zaza*** | 2019.11.17
1 | 59503043 | 100점
아주 만족 합니다. 좋아서 재구매예요. | csee*** | 2020.01.19
0 | 61187848 | 95점
아주 만족 합니다. 좋아서 재구매예요. | csee*** | 2020.01.19
5 | 57215631 | 100점
아직 사용전인데 써보고 좋으면 또 주문할께요 | sudarel*** | 2019.11.12
0 | 55887989 | 100점
아직 사용전인데 써보고 좋으면 또 주문할께요 | sudarel*** | 2019.11.12
2 | 55887987 | 100점
자극이 없이 순해요 | si1*** | 2019.08.21
5 | 47275600 | 100점
피부 촉촉하게 잘 사용 | dalh*** | 2019.09.01
2 | 61187925 | 100점
늘 쓰던거라. | jjpp4*** | 2020.01.06
5 | 56446801 | 100점
추천합니다 | lebeauch*** | 2019.11.21
1 | 58092022 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61187822 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61187782 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61187825 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 59679259 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
0 | 61450847 | 100점
좋은가격으로 구입 좋은제품을 | quilt0*** | 2019.12.29
